Name	Label	Entity	Value type	Related entity	Definitional reference	Definition
has_proper_continuant_part_at_some_time	has proper continuant part at some time				BFO:0000174	
has_participant	has participant				BFO:0000057	
has_function	has function				RO:0000085	a relation between an independent continuant the bearer and a function in which the function specifically depends on the bearer for its existence"en
ends_after	ends after				RO:0002086	
has_proper_occurrent_part	has proper occurrent part				BFO:0000118	
preceded_by	preceded by				BFO:0000062	x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff y < x where  is a function that maps a process to a start point and  is a function that maps a process to an end point."en
has_participant	has participant				RO:0000057	a relation between a process and a continuant in which the continuant is somehow involved in the process"en
depends_on	depends on				RO:0002502	
mitigates	mitigates				CHMO:0010017	
has_grain	has grain				OBI:0000643	the relation of the cells in the finger of the skin to the finger in which an indeterminate number of grains are parts of the whole by virtue of being grains in a collective that is part of the whole and in which removing one granular part does not nec- essarily damage or diminish the whole. Ontological Whether there is a fixed or nearly fixed number of parts - e.g. fingers of the hand chambers of the heart or wheels of a car - such that there can be a notion of a single one being missing or whether by contrast the number of parts is indeterminate - e.g. cells in the skin of the hand red cells in blood or rubber molecules in the tread of the tire of the wheel of the car."en
is_specified_output_of	is_specified_output_of				OBI:0000312	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of."en
has_analyte	has analyte				CHMO:0002748	
has_value_specification	has value specification				OBI:0001938	A relation between an information content entity and a value specification that specifies its value."en
part_of	part of				BFO:0000050	a core relation that holds between a part and its whole"en
participates_in	participates in				RO:0000056	a relation between a continuant and a process in which the continuant is somehow involved in the process"en
causally_related_to	causally related to				RO:0002410	relation that links two events processes states or objects such that one event process state or object a cause contributes to the production of another event process state or object an effect where the cause is partly or wholly responsible for the effect and the effect is partly or wholly dependent on the cause.
ceases_to_exist_during	ceases to exist during				BFO:0000069	
has_specified_output	has_specified_output				OBI:0000299	The inverse property of is_specified_output_of"en
has_function_at_some_time	has function at some time				BFO:0000085	
proper_part_of_continuant_at_all_times	proper part of continuant at all times				BFO:0000137	
function_of	function of				RO:0000079	a relation between a function and an independent continuant the bearer in which the function specifically depends on the bearer for its existence"en
has_role	has role				RO:0000087	a relation between an independent continuant the bearer and a role in which the role specifically depends on the bearer for its existence"en
precedes	precedes				BFO:0000063	x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff x < y where  is a function that maps a process to a start point and  is a function that maps a process to an end point."en
has_specified_input	has_specified_input				OBI:0000293	The inverse property of is_specified_input_of"en
has_matrix	has matrix				CHMO:0002883	
temporally_related_to	temporally related to				RO:0002222	
causally_downstream_of_or_within	causally downstream of or within				RO:0002427	inverse of causally upstream of or within
probes_atom	probes_atom				CHMO:0002922	A process p probes_atom n if it has_participant n and its objective o is to determine the energy levels of n.
has_member	has member				RO:0002351	has member is a mereological relation between a collection and an item.
begins_to_exist_during	begins to exist during				BFO:0000068	
is_concretized_as	is concretized as				RO:0000058	A relationship between a generically dependent continuant and a specifically dependent continuant in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. A generically dependent continuant may be concretized as multiple specifically dependent continuants."en
member_of	member of				RO:0002350	is member of is a mereological relation between a item and a collection.
causally_downstream_of	causally downstream of				RO:0002404	inverse of upstream of
