Name	Label	Definitional reference	Definition
photodeposition	photodeposition	CHMO:0001355	A synthesis technique where a monomer is irradiated with UV light causing cross-linking and the deposition of a polymer film on a substrate.
multiphoton_fluorescence_microscopy	multiphoton fluorescence microscopy	CHMO:0000771	Microscopy where fluorophores in the specimen can be made to fluoresce emit energy as visible light by absorption of two or more photons.
laser_ionisation_spectroscopy	laser ionisation spectroscopy	CHMO:0000462	Spectroscopy where a sample is illuminated with a laser and photoexcitation is used to promote an atom or molecule above its ionisation potential to create an ion.
confocal_infrared_microscopy	confocal infrared microscopy	CHMO:0001831	The collection of spatially resolved infrared spectra of a sample during optical microscopy. An aperture is used to discriminate between infrared signal coming from the laser spot and that coming from the out-of-focus region of the sample.
gas_source_molecular_beam_epitaxy	gas-source molecular beam epitaxy	CHMO:0001342	A synthesis method which consists of depositing a monocrystalline film from a molecular beam of reactive gases on a monocrystalline substrate under high vacuum <10{-8} Pa.
elastic_incoherent_neutron_scattering	elastic incoherent neutron scattering	CHMO:0000189	A method for determining structure by measuring the change in direction of scattered neutrons. Neutrons are scattered by the atomic nuclei in the sample phase is not conserved and the neutrons retain all of their kinetic energy during collisions.
matrix_assisted_laser_desorption_ionisation_imaging_mass_spectrometry	matrix-assisted laser desorption-ionisation imaging mass spectrometry	CHMO:0000054	The collection of spatially resolved mass spectra of a sample during microscopy where a pulse laser is used to produce both ionisation and vapourisation and the sample is held in a matrix such as dihydrobenzoic acid to protect it from direct laser illumination and to separate the sample molecules. The spectra are used to visualise the spatial distribution of typically biomolecules by their molecular masses.
cathodic_arc_deposition	cathodic arc deposition	CHMO:0001357	A synthesis technique where an electric arc is used to vaporize material from a cathode target. The vaporized material then condenses on a substrate forming a thin film.
gamma_ray_scattering_spectroscopy	gamma-ray scattering spectroscopy	CHMO:0000416	Spectroscopy where gamma-rays are absorbed by a sample resulting in the ejection of an electron and the emission of light which is detected.
specimen_role	specimen role	OBI:0000112	A role borne by a material entity that is obtained during a specimen collection process and that can be realized by performing measurements or observations on the specimen."en
assay	assay	OBI:0000070	A planned process that has the objective to produce information about a material entity the evaluant by examining it."en
isopycnic_centrifugation	isopycnic centrifugation	CHMO:0002018	A method where the components of a sample are separated on the basis of their density in a density gradient of e.g. CsCl in a centrifuge according to buoyant density. The species in the sample move through the gradient until they reach a point where their density and that of the gradient are identical.
thermal_conductivity_detection	thermal conductivity detection	CHMO:0001731	A detection method that is sensitive to inorganic gases. A hot 450 C filament is used to heat a carrier gas containing the sample and the difference in thermal conductivity caused by the presence of the sample is measured.
gas_phase_infiltration	gas-phase infiltration	CHMO:0001383	The process of filling in the pores of a material e.g. a ceramic by reaction with or deposition from a gas.
differential_pulse_voltammetry	differential pulse voltammetry	CHMO:0000030	An electrochemical technique where the cell current is measured as a function of time and as a function of the potential between the indicator and reference electrodes. The potential is varied using pulses of increasing amplitude and the current is sampled before and after each voltage pulse.
proton_nuclear_magnetic_resonance_spectrum	proton nuclear magnetic resonance spectrum	CHMO:0000838	A plot of chemical shift vs. intensity and possibly other parameters for hydrogen-1 nuclei obtained by measuring the effect of the absorption of radio frequency radiation on nuclear spin-state transitions in the presence of a magnetic field.
planar_array_infrared_emission_spectroscopy	planar array infrared emission spectroscopy	CHMO:0000654	Spectroscopy where the sample is heated and the infrared radiation 0.781000 m emitted during cooling is detected with a two-dimensional focal plane array infrared camera.
obsolete_separation_method_measurement_method	obsolete: separation method-measurement method	CHMO:0001048	A method in which a separation method is coupled to a measurement method in order to perform measurements upon different components of a sample.
nuclear_overhauser_enhancement_spectroscopy_with_paramagnetic_signals_enhancement	nuclear Overhauser enhancement spectroscopy with paramagnetic signals enhancement	CHMO:0002738	A type of homonuclear NMR spectroscopy based on the nuclear Overhauser enhancement effect in which correlations are seen between nuclei that are spatially proximate within a molecule leq 6 AA apart. Spectra recorded with suppression of the diamagnetic window by the PASE pulse sequence.
projection_reduction_exposure_with_variable_axis_immersion_lense	projection reduction exposure with variable axis immersion lense	CHMO:0001405	A synthesis technique that uses electrons to transfer a pattern to a substrate. The substrate is coated with a film or 'resist and a beam of electrons 100 keV is scanned across a patterned mask. The electrons induce chemical reactions in the resist and the desired pattern is obtained by selectively removing either exposed or non-exposed regions of the resist 'developing'. The lens system used to focus the electron beam has a 4-times magnification and a 250 m2 exposure field and was developed by IBM and Nikon.
two_photon_fluorescence_image	two-photon fluorescence image	CHMO:0002695	A fluorescence image obtained through a two-photon excitation process.
clustered_data_visualization	clustered data visualization	OBI:0200190	A data visualization which has input of a clustered data set and produces an output of a report graph which is capable of rendering data of this type."en
catalytic_steam_reforming_of_methanol	catalytic steam reforming of methanol	CHMO:0001452	The reaction of methanol with steam at high temperature 7001000 C in the presence of a nickel catalyst in order to produce hydrogen.
3he_nuclear_magnetic_resonance_spectroscopy	3He nuclear magnetic resonance spectroscopy	CHMO:0001971	Spectroscopy where the energy states of 3He nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them.
template_generated_ontology_module	template generated ontology module	IAO:8000015	An ontology module that is automatically generated from a template specification and fillers for slots in that template."en
high_frequency_electron_spin_resonance_spectroscopy	high-frequency electron spin resonance spectroscopy	CHMO:0000879	Spectroscopy where the response of an atom with an unpaired electron to short ns pulses of high-frequency microwave radiation mm wavelength in a high magnetic field is measured.
differential_isothermal_capacitance_transient_spectroscopy	differential isothermal capacitance transient spectroscopy	CHMO:0001776	A method for determining the extent of intrinsic and process-induced defects in the  crystalline layers within  semiconductor devices. Defects arising from impurities grain boundaries interfaces etc. result in the creation of traps that capture free electrons and holes. By monitoring the differential of the capacitance produced by applying a voltage pulse to the semiconductor junction at constant different temperatures spectra are generated that exhibit peaks the height of which are proportional to the height of which are proportional to time constant for the emission rate.
high_resolution_mass_spectrometry	high-resolution mass spectrometry	CHMO:0000498	Mass spectrometry where the 'exact' mass of the molecular ions in the sample is determined as opposed to the 'nominal' mass the number of protons and neutrons.
surface_enhanced_laser_desorption_ionisation_mass_spectrometry	surface-enhanced laser desorption-ionisation mass spectrometry	CHMO:0000522	Mass spectrometry where the sample usually a large organic molecule or biomolecule is vaporised and ionised using a high-energy pulsed laser. The sample is mixed with a matrix compound such as crystallised dihydrobenzoic acid and deposited on a surface with some chemical functionality to protect it from direct laser illumination and to separate the sample molecules.
size_exclusion_chromatogram	size-exclusion chromatogram	CHMO:0002573	A plot of detector signal e.g. ion count or  absorbance vs. retention time obtained from a chromatography experiment where the separation is caused by exclusion effects within the stationary phase and where the stationary phase is a swollen gel.
kelvin_probe_force_micrograph	Kelvin probe force micrograph	CHMO:0002460	An image obtained by using a sharp spike known as a 'tip' mounted on the end of a cantilever to scan the surface of the specimen line by line and recording the difference in work function between the tip and sample as a function of position.
photo_etching	photo etching	CHMO:0001567	The process of generating a pattern in a photosensitive sample by irradiating it with UV light. After exposure the plate is 'developed' by washing away the unexposed resist.
potential_sputter_etching	potential sputter etching	CHMO:0001570	The process of removing a thin layer of a sample surface by bombarding it with high-energy or highly charged heavy ions. When the multiply charged ions recombine on the sample surface their potential energy is liberated accelerating the process.
39k_nuclear_magnetic_resonance_spectroscopy	39K nuclear magnetic resonance spectroscopy	CHMO:0001976	Spectroscopy where the energy states of 39K nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them.
bomb_digestion	bomb digestion	CHMO:0001492	The decomposition of a sample in strong acids such as nitric sulfuric or perchloric acid in a sealed vessel lined with PTFE under high pressure and high temperature in order to obtain the sample in liquid form.
13c13c_correlation_spectroscopy	13C–13C correlation spectroscopy	CHMO:0002301	A type of homonuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between 13C nuclei that are J-coupled usually <3 bonds apart.
nuclear_magnetic_resonance_spectrometer	nuclear magnetic resonance spectrometer	CHMO:0001807	A piece of apparatus used to conduct NMR experiments consisting of a magnet housing a sample space surrounded by two coils which act to transmit radio frequency radiation to the sample and to detect the response of the sample.
time_of_flight_secondary_ion_mass_spectrometry	time-of-flight secondary ion mass spectrometry	CHMO:0000565	Mass spectrometry where the sample is bombarded with a stream of primary mass-selected particles and the secondary ions ejected from the sample are detected by accelerating them to the same known kinetic energy and measuring the time taken for each ion to reach a detector at a known distance. This time is dependent on the mass-to-charge ratio of the ion.
incoherent_neutron_scattering	incoherent neutron scattering	CHMO:0000188	A method for determining structure by measuring the change in direction or energy of scattered neutrons. Neutrons are scattered by the atomic nuclei in the sample and phase is not conserved.
micro_raman_spectrum	micro-Raman spectrum	CHMO:0002639	A plot of intensity vs. Raman shift cm-1 obtained by measuring the Raman scattering of monochromatic light from a micrometre-sized area of a sample located using an optical microscope.
liquid_atomic_force_microscopy	liquid atomic force microscopy	CHMO:0002117	Microscopy which uses a sharp spike known as a 'tip' mounted on the end of a cantilever to scan the surface of the specimen that is immersed in a liquid cell. The tip oscillates intermittently touching or tapping the surface. An image of the surface is obtained by mechanically moving the probe in a raster scan of the specimen line by line and recording the force experienced by the tip as a function of position. A feedback loop is used to maintain a fixed relationship between the tip and surface during scanning.
spark_source_mass_spectrometry	spark source mass spectrometry	CHMO:0000574	Mass spectrometry where the sample is ionised by a vacuum spark discharge which is generated by a pulsed high 25100 kV potential difference between two electrodes.
data_about_an_ontology_part	data about an ontology part	IAO:0000102	Data about an ontology part is a data item about a part of an ontology for example a term"en
scanning_vibrating_electrode_technique	scanning vibrating electrode technique	CHMO:0002712	A technique that operates by mechanically vibrating a probe at a fixed amplitude frequency and height over an electrochemically active sample in solution measuring and mapping the electric field generated by the sample. This technique is used to probe the nature of corrosion processes.
emulsion_polymerisation	emulsion polymerisation	CHMO:0002550	A polymer preparation technique in which monomer usually acrylic droplets are dispersed in a continuous aqueous phase and are kept colloidally stable through the use of a surfactant.
nitrogen_sorption_desorption_measurements	nitrogen sorption-desorption measurements	CHMO:0002583	A method for determining surface area by measuring the amount of an N2 which adsorbs onto the surface of interest the 'sorbate' and the subsequent amount that desorbs at a constant temperature. Regression analysis is then applied to the data resulting in an isotherm.
ultraviolet_resonance_raman_spectroscopy	ultraviolet resonance Raman spectroscopy	CHMO:0000671	Spectroscopy where the Raman scattering of monochromatic light from an ultraviolet laser by a sample is detected. The energy of the incoming laser is adjusted such that it or the scattered light coincides with an electronic transition within the sample.
121sb_mossbauer_spectroscopy	121Sb Mossbauer spectroscopy	CHMO:0002032	Spectroscopy where the intensity of a gamma-rays beam transmitted through a solid sample containing 121Sb nuclei is detected.
ultra_high_vacuum_tip_enhanced_raman_spectroscopy	ultra-high vacuum tip-enhanced Raman spectroscopy	CHMO:0000679	Spectroscopy where the Raman scattering of visible laser light by metal surfaces where scattering is enhanced by the optical near field of a scanning tunnelling tip under ultra-high vacuum is detected.
manufacturing	manufacturing	OBI:0000457	A planned process with the objective to produce a processed material which will have a function for future use."en
1h1h_nuclear_overhauser_enhancement_spectroscopy	1H–1H nuclear Overhauser enhancement spectroscopy	CHMO:0001151	A type of homonuclear NMR spectroscopy based on the nuclear Overhauser enhancement effect in which correlations are seen between protons that are spatially proximate within a molecule 6 AA apart.
weak_cation_exchange_column	weak cation-exchange column	CHMO:0002267	A chromatography column where the stationary phase is a weak cation exchanger.
constant_potential_amperometry	constant potential amperometry	CHMO:0000008	An electrochemical technique where the cell current is measured whilst the potential difference between the indicator and reference electrodes is held at a constant value sufficient to oxidize or reduce the sample.
laser_microprobe_inductively_coupled_plasma_atomic_emission_spectroscopy	laser microprobe inductively coupled plasma atomic emission spectroscopy	CHMO:0000270	Inductively coupled atomic emission spectrometry where the sample is vaporised by laser ablation with a finely focused <10 m diameter laser.
force_spectroscopy_mapping	force spectroscopy mapping	CHMO:0002704	The measurement of spatially resolved forcedistance curves using an atomic force microscope to produce a chemical profile image.
proton_decoupled_phosphorus_31_nuclear_magnetic_resonance_spectrum	proton-decoupled phosphorus-31 nuclear magnetic resonance spectrum	CHMO:0000892	A nuclear magnetic resonance spectrum where the nuclei of interest are phosphorus-31 nuclei and J/scalar coupling patterns between protons and phosphorus-31 nuclei have been removed.
vanadium_51	vanadium-51	CHEBI:52456	The stable isotope of vanadium with relative atomic mass 50.943964 99.8 atom percent natural abundance and nuclear spin 7/2.
chromatography	chromatography	CHMO:0001000	A separation method where the components are distributed between two phases one of which is stationary while the other moves in a definite direction.
stber_process	Stöber process	CHMO:0002836	A material processing process that produces monodisperse particles of silica by adding tetraethyl silicate to an excess of water containing a low-molar-mass alcohol and stirring.
precipitation_with_compressed_antisolvent	precipitation with compressed antisolvent	CHMO:0001947	A technique where a solid sample is dissolved in a common organic or inorganic solvent then sprayed into a vessel pressurised with a dense gas e.g. supercritical CO2 This results in a large decrease in solution density and precipitation.
eye_wash_station	eye wash station	CHMO:0010005	
catalytic_steam_reforming	catalytic steam reforming	CHMO:0001451	The reaction of hydrocarbons with steam at high temperature 7001000 C in the presence of a nickel catalyst in order to produce hydrogen.
weak_beam_dark_field_transmission_electron_micrograph	weak-beam dark-field transmission electron micrograph	CHMO:0002616	An image obtained by bombarding the specimen with a finely focused <10 nm diameter electron beam under vacuum and measuring the intensities of the transmitted electrons. A diffracted beam harmonic a 'weak beam' is used rather than the diffracted beam itself allowing ch higher resolution to be obtained.
ultraviolet_visible_spectrophotometry	ultraviolet-visible spectrophotometry	CHMO:0000292	Spectroscopy where the sample absorbs radiation in the range ultraviolet to visible 190-800 nm resulting in electronic transitions within the sample.
inelastic_electron_tunnelling_spectroscopy	inelastic electron tunnelling spectroscopy	CHMO:0000629	Spectroscopy where a metal-molecule-metal sandwich is formed and electrons tunnel from metal to metal through the molecules. Any additional molecules adsorbed onto the inner layer of the sandwhich can affect the tunneling via the excitation of vibrational states.
analytical_pyrolysis	analytical pyrolysis	CHMO:0001503	The characterisation in an inert atmosphere of a material or a chemical process by a chemical degradation reaction induced by thermal energy.
magnesium_k_alpha_source	magnesium K-alpha source	CHMO:0002811	An X-ray source where magnesium atoms emit X-rays through a 1s from 2p transition.
electroporation	electroporation	OBI:0302912	a process in which a significant increase in the electrical conductivity and permeability of the cell plasma membrane caused by an externally applied electrical field. It is usually used in molecular biology as a way of introducing some substance into a cell such as loading it with a molecular probe a drug that can change the cell's function or a piece of coding DNA"en
1h15n_heteronuclear_multiple_bond_coherence_spectrum	1H–15N heteronuclear multiple bond coherence spectrum	CHMO:0002700	A heteronuclear NMR spectrum where a second frequency dimension is employed to disperse the signals and reveal correlations between 1H and 15N nuclei which are 23 bonds removed.
capillary_electrophoresis_mass_spectrometry	capillary electrophoresis-mass spectrometry	CHMO:0000702	Any method where the sample is first separated by capillary electrophoresis before being analysed by mass spectrometry.
inelastic_incoherent_neutron_scattering	inelastic incoherent neutron scattering	CHMO:0000191	A method for determining structure by measuring the change in direction or energy of scattered neutrons. Neutrons are scattered by the atomic nuclei in the sample phase is not conserved and the neutrons suffer a loss of kinetic energy during collisions.
value_specification	value specification	OBI:0001933	An information content entity that specifies a value within a classification scheme or on a quantitative scale."en
127i_mossbauer_spectroscopy	127I Mossbauer spectroscopy	CHMO:0002029	Spectroscopy where the intensity of a gamma-rays beam transmitted through a solid sample containing 127I nuclei is detected.
divided_electrochemical_cell	divided electrochemical cell	CHMO:0002929	An electrochemical cell where the anode and cathode are placed in different vessels requiring the use of a salt bridge frit or membrane to complete the circuit.
ultraviolet_spectrometer	ultraviolet spectrometer	CHMO:0001804	A piece of apparatus that consists of: a light source a holder for the sample a diffraction grating or monochromator to separate the different wavelengths of light a detector and is used to measure spectra in the ultraviolet range 190400 nm.
liquid_chromatography_evaporative_light_scattering_detection	liquid chromatography-evaporative light scattering detection	CHMO:0001745	A liquid chromatography method where the mobile phase is atomised in a gas forming small droplets which are allowed to evaporate leaving the sample as fine particles. The suspended particles pass through a light beam and the scattered light transmitted by the particles is sensed by a photomultiplier. The response is proportional to the mass of the molecules in the sample.
fast_atom_bombardment_mass_spectrometry	fast-atom bombardment mass spectrometry	CHMO:0000563	Mass spectrometry where the sample which is held in a liquid matrix is bombarded with a stream of primary noble gas atoms and the secondary ions ejected from the sample are detected.
laser_oximetry	laser oximetry	CHMO:0002111	A technique used to determine the amount of oxygen in sample based on the absorption of laser radiation.
separation_capillary	separation capillary	CHMO:0000983	A piece of apparatus that has the form of a tube with an internal diameter of 20100 micrometres and hosts the separation medium in capillary electrophoresis.
proton_induced_auger_electron_spectroscopy	proton-induced Auger electron spectroscopy	CHMO:0000348	Spectroscopy where the bombardment of a sample with protons results in the ionisation of core electrons and the emission of so-called 'Auger' electrons which are detected as a function of incident proton energy.
argon_pulse_discharge_photoionisation_detection	argon pulse-discharge photoionisation detection	CHMO:0001934	A detection method where a DC voltage pulse is passed through argon gas generating high-energy 13.517.5 eV photons which photoionise the elements in the sample mixture and the current generated by this ionisation is measured.
pumprepumpprobe_spectroscopy	pump–repump–probe spectroscopy	CHMO:0002447	Spectroscopy where the sample is illuminated with an initial laser pulse the 'pump' followed by a second pump laser pulse and finally a third laser pulse the 'probe' after a short delay. The two pump pulses create excitations in the sample which are sensed by the probe pulse.
surface_enhanced_chiral_raman_spectroscopy	surface-enhanced chiral Raman spectroscopy	CHMO:0000885	Spectroscopy where vibrational optical activity from a sample absorbed onto a metal Au Ag or Cu surface is measured by means of a small difference in the intensity of Raman scattering from chiral molecules of right- and left-circularly polarised incident light.
normal_pulse_voltammetry	normal pulse voltammetry	CHMO:0000031	An electrochemical technique where the cell current is measured as a function of time and as a function of the potential between the indicator and reference electrodes. The potential is varied using pulses of increasing amplitude and the current is sampled after each voltage pulse.
boundary_between_portions_of_material	boundary between portions of material	CHMO:0002349	A two-dimensional surface that separates two portions of material of different compositions.
inelastic_tunnelling_spectrum	inelastic tunnelling spectrum	CHMO:0002331	A plot of current or a first or higher derivative of current with respect to voltage vs. voltage obtained by measuring the tunnelling current through a metal-oxide-metal sandwich. Molecules are adsorbed onto the oxide and these molecules can affect the tunnelling via the excitation of vibrational states.
gas_chromatograph	gas chromatograph	CHMO:0002478	A piece of apparatus consisting of a gas supply system an injection or sampling system a column detector and a data acquisition/ processing system that is used to carry out chromatographic separations.
magnetophoresis	magnetophoresis	CHMO:0002293	A separation method where magnetic particles move at different speeds according to their magnetic susceptibilities in a separation medium across which a magnetic field is applied.
atomic_mass_spectrometry	atomic mass spectrometry	CHMO:0001995	Spectrometry where the sample is atomised and converted into gaseous ions which are characterised by their mass-to-charge ratio and relative abundance.
electronic_circular_dichroism_spectroscopy	electronic circular dichroism spectroscopy	CHMO:0001926	Spectroscopy based on the differential absorption of left- and right-handed circularly polarised visible or near-ultraviolet radiation 200400 nm. The optical activity of the sample is monitored using electronic transitions.
negative_staining_transmission_electron_microscopy	negative-staining transmission electron microscopy	CHMO:0002597	Microscopy where an electron-transparent specimen that has been stained with heavy metals salts e.g. uranyl acetate is bombarded with a finely focused <10 nm diameter electron beam with an acceleration voltage 50150 kV under vacuum and the intensities of the transmitted electrons are measured.
temperature_programmed_absorption	temperature-programmed absorption	CHMO:0002819	A sample preparation method where a sample is heated slowly in a gas.
shaped_radio_frequency_pulse	shaped radio frequency pulse	CHMO:0001870	A selective or shaped pulse which is designed to excite only a specific region of a spectrum.
trimethylsilyl_derivatisation	trimethylsilyl derivatisation	CHMO:0002758	Derivatisation of a metabolite by addition of a trimethylsilyl reagent to protect functional groups such as hydroxy carboxylic acid thio and amine groups.
supercritical_fluid_method	supercritical fluid method	CHMO:0001904	Any material processing method that uses a supercritical fluid.
		CHMO:0002468	
fractional_sublimation	fractional sublimation	CHMO:0002218	A method for purifying samples by heating the sample under reduced pressure and allowing the fractions to sublime order of increasing sublimation temperature a function of vapor pressure.
gas_chromatography_thermal_energy_analysis	gas chromatography-thermal energy analysis	CHMO:0001739	A gas chromatography method that is sensitive to compounds containing NO and NO2 groups. The eluent is pyrolysed at 275 deg C producing radicals which react with ozone under low pressure to produce chemiluminescence.
solution_nebulisation_inductively_coupled_plasma_mass_spectrometry	solution nebulisation inductively coupled plasma mass spectrometry	CHMO:0000557	Mass spectrometry where a sample mixture a solution in dilute HNO3 is passed through a nebuliser to form a mist of finely dispersed droplets before being ionised in a plasma a partially ionised gas-such as Ar-containing free electrons which has been generated by electromagnetic induction.
specular_x_ray_reflectometry	specular X-ray reflectometry	CHMO:0000222	A method for determining structure by directing a beam of X-rays at an extremely flat surface at angle theta to the surface and measuring the intensity of the X-rays which undergo specular reflection and are emitted at angle theta from the surface.
tris_hcl_buffer	Tris-HCl buffer	CHMO:0001755	A buffer solution in which the pH is maintained by Tris trishydroxymethylaminomethane and HCl solution.
two_dimensional_chromatography	two-dimensional chromatography	CHMO:0001018	A two-dimensional separation method where the separation processes are both chromatography. initial separation proceeds in a primary column and 'cuts' of the eluent from this column are directed into one or more secondary columns.
in_situ_x_ray_diffraction	in situ X-ray diffraction	CHMO:0001137	A method for determining structure by detecting the positions and intensities of X-rays that have been generated within a structural domain as a pattern of spots on a photographic plate.
normal_pulse_polarography	normal pulse polarography	CHMO:0000037	An electrochemical technique where the cell current is measured as a function of time and as a function of the potential between the indicator and reference electrodes. The working electrode is a dropping mercury or other liquid conductor electrode and unstirred solutions are used. The potential is varied using pulses of linearly increasing amplitude one pulse during each drop lifetime and the current is sampled after each voltage pulse.
solid_state_quadrupolar_carr_purcell_meiboom_gill_spectrum	solid-state quadrupolar Carr-Purcell-Meiboom-Gill spectrum	CHMO:0002138	A plot of the nuclear magnetic resonance frequency vs. intensity composed of a series of peaks separated by the reciprocal of a user-defined time delay in a QCPMG pulse sequence which describe the envelope of the full static spectrum.
scanning_mobility_particle_sizer	scanning mobility particle sizer	CHMO:0002591	A piece of apparatus that measures the size distribution of particles in an aerosol by neutralising the particles passing them through a differential mobility analyser in order to control the size of the particles and then counting the particles of that size with a condensation particle counter.
gas_chromatography	gas chromatography	CHMO:0001002	Column chromatography where the mobile phase is a gas.
cross_polarisation_magic_angle_spinning	cross-polarisation magic angle spinning	CHMO:0000617	Magic angle spinning spectroscopy where cross polarisation is used to enhance the signal from weakly coupled nuclei.
two_dimensional_infrared_spectroscopy	two-dimensional infrared spectroscopy	CHMO:0002710	Spectroscopy where the sample absorbs radiation from the infrared region 0.781000 m over two frequency axes. Cross peaks in the spectrum encode the couplings and orientation between vibrations.
chemodosimetry	chemodosimetry	CHMO:0002798	Measurement of the dose of ions or small molecules taken up by an object.
electrostatic_force_microscopy_image	electrostatic force microscopy image	CHMO:0002641	An image obtained by using a conducting sharp spike known as a 'tip' mounted on the end of a cantilever to scan the surface of the specimen line by line and recording the drop in amplitude of the oscillating cantilever caused by the electrostatic force it experiences while the tip is biased with a voltage of a few volts as a function of position.
positive_electrospray_ionisation_mass_spectrometry	positive electrospray ionisation mass spectrometry	CHMO:0001107	Mass spectrometry where the sample is ionised to positive ions by forcing a solution usually in an organic solvent of the sample through a small heated capillary at a flow rate of 110 L min-1 into an electric field to produce a very fine mist of charged droplets.
photoelectron_microspectroscopy	photoelectron microspectroscopy	CHMO:0000392	Spectroscopy where the sample is illuminated with a finely focused <10 m photon beam causing ionisation and the emission of photoelectrons the energies of which are measured.
resonance_raman_spectroscopy	resonance Raman spectroscopy	CHMO:0000668	Raman spectroscopy where the energy of the incoming laser is adjusted such that it or the scattered light coincides with an electronic transition in the sample.
		CHMO:0001047	
spatiotemporal_region	spatiotemporal region	BFO:0000011	
laser_desorption_ionisation_mass_spectrometry	laser desorption-ionisation mass spectrometry	CHMO:0000515	Mass spectrometry where the sample is vaporised and ionised using a high-energy pulsed laser.
		CHMO:0002059	
high_performance_liquid_chromatography_inductively_coupled_plasma_mass_spectrometry	high performance liquid chromatography-inductively coupled plasma mass spectrometry	CHMO:0000543	A method where a sample mixture is first separated by high-performance liquid chromatography before being ionised in a plasma a partially ionised gas-such as Ar-containing free electrons which has been generated by electromagnetic induction and characterised by mass-to-charge ratio and relative abundance.
helium_pulse_discharge_photoionisation_detection	helium pulse-discharge photoionisation detection	CHMO:0001936	A detection method where a DC voltage pulse is passed through helium gas generating high-energy 13.517.5 eV photons which photoionise the elements in the sample mixture and the current generated by this ionisation is measured.
nanoelectrospray_ionisation_mass_spectrum	nanoelectrospray ionisation mass spectrum	CHMO:0002361	A plot of relative abundance  vs. mass-to-charge ratio obtained from a mass spectrometry experiment  where the ions are obtained by forcing a solution usually in an organic solvent of the sample through a small capillary at a flow rate of nL min-1 into an electric field to produce a very fine mist of charged droplets.
pressure_monitored_pyrolysis	pressure-monitored pyrolysis	CHMO:0001513	The chemical degradation of a sample by thermal energy during which the pressure of the volatile pyrolysates is recorded.
